Ticket,Time,Direction,Entry,SL,TP1,Result,PnL,H1_Trend,Regime
2382,2024-06-06 18:00:00,LONG,2366.7,2361.29,2374.8149999999996,OPEN,0,BULLISH,TREND
2383,2024-06-06 18:05:00,LONG,2367.62,2362.3414285714284,2375.537857142857,OPEN,0,BULLISH,TREND
2384,2024-06-06 18:10:00,LONG,2370.36,2365.1785714285716,2378.1321428571428,OPEN,0,BULLISH,TREND
2382,2024-06-06 18:15:00,N/A,N/A,N/A,N/A,WIN,67.71,UNKNOWN,TREND
2383,2024-06-06 18:15:00,N/A,N/A,N/A,N/A,WIN,77.54,UNKNOWN,TREND
2386,2024-06-06 18:20:00,LONG,2372.55,2367.5657142857144,2380.026428571429,OPEN,0,BULLISH,TREND
2384,2024-06-06 18:25:00,N/A,N/A,N/A,N/A,WIN,63.51,UNKNOWN,TREND
2387,2024-06-06 18:25:00,LONG,2374.72,2369.8585714285714,2382.012142857143,OPEN,0,BULLISH,TREND
2386,2024-06-06 18:30:00,N/A,N/A,N/A,N/A,WIN,67.05,UNKNOWN,TREND
2390,2024-06-06 18:40:00,LONG,2377.31,2372.408571428571,2384.662142857143,OPEN,0,BULLISH,TREND
2387,2024-06-06 18:45:00,N/A,N/A,N/A,N/A,WIN,83.14,UNKNOWN,TREND
2391,2024-06-06 18:45:00,LONG,2377.55,2372.5757142857146,2385.011428571429,OPEN,0,BULLISH,TREND
2390,2024-06-06 18:50:00,N/A,N/A,N/A,N/A,WIN,7.73,UNKNOWN,TREND
2391,2024-06-06 19:00:00,N/A,N/A,N/A,N/A,LOSS,-160.17,UNKNOWN,TREND
2397,2024-06-06 19:15:00,LONG,2372.94,2367.2514285714283,2381.4728571428577,OPEN,0,BULLISH,TREND
2397,2024-06-06 19:20:00,N/A,N/A,N/A,N/A,LOSS,-24.52,UNKNOWN,TREND
2400,2024-06-06 19:30:00,LONG,2373.53,2367.852857142857,2382.045714285715,OPEN,0,BULLISH,TREND
2402,2024-06-06 19:40:00,LONG,2374.94,2369.7614285714285,2382.7078571428574,OPEN,0,BULLISH,TREND
2400,2024-06-06 19:45:00,N/A,N/A,N/A,N/A,WIN,12.83,UNKNOWN,TREND
2402,2024-06-06 19:45:00,N/A,N/A,N/A,N/A,LOSS,-27.15,UNKNOWN,TREND
2405,2024-06-06 19:55:00,LONG,2372.9,2367.831428571428,2380.5028571428575,OPEN,0,BULLISH,TREND
2405,2024-06-06 20:00:00,N/A,N/A,N/A,N/A,LOSS,-10.51,UNKNOWN,SIDEWAY
2410,2024-06-06 20:20:00,LONG,2372.59,2368.27,2379.07,OPEN,0,BULLISH,TREND
2410,2024-06-06 20:25:00,N/A,N/A,N/A,N/A,LOSS,-11.66,UNKNOWN,TREND
2415,2024-06-06 20:45:00,LONG,2372.65,2369.3085714285717,2377.662142857143,OPEN,0,BULLISH,TREND
2417,2024-06-06 20:55:00,LONG,2373.18,2369.9928571428572,2377.960714285714,OPEN,0,BULLISH,TREND
2415,2024-06-06 21:00:00,N/A,N/A,N/A,N/A,WIN,8.16,UNKNOWN,SIDEWAY
2417,2024-06-06 21:00:00,N/A,N/A,N/A,N/A,LOSS,-55.18,UNKNOWN,SIDEWAY
2427,2024-06-06 21:45:00,LONG,2372.65,2369.9900000000002,2376.64,OPEN,0,BULLISH,TREND
2427,2024-06-06 22:00:00,N/A,N/A,N/A,N/A,LOSS,-19.39,UNKNOWN,SIDEWAY
2431,2024-06-06 22:05:00,LONG,2373.12,2370.6014285714286,2376.897857142857,OPEN,0,BULLISH,TREND
2432,2024-06-06 22:10:00,LONG,2373.73,2371.4385714285713,2377.167142857143,OPEN,0,BULLISH,TREND
2431,2024-06-06 22:15:00,N/A,N/A,N/A,N/A,WIN,12.32,UNKNOWN,TREND
2433,2024-06-06 22:15:00,LONG,2374.81,2372.5514285714285,2378.197857142857,OPEN,0,BULLISH,TREND
2432,2024-06-06 22:20:00,N/A,N/A,N/A,N/A,WIN,35.96,UNKNOWN,TREND
2433,2024-06-06 22:35:00,N/A,N/A,N/A,N/A,LOSS,-55.09,UNKNOWN,SIDEWAY
2441,2024-06-06 22:55:00,LONG,2372.66,2370.7485714285713,2375.5271428571427,OPEN,0,BULLISH,TREND
2442,2024-06-06 23:00:00,LONG,2373.4,2371.4357142857143,2376.3464285714285,OPEN,0,BULLISH,TREND
2441,2024-06-06 23:05:00,N/A,N/A,N/A,N/A,WIN,19.61,UNKNOWN,TREND
2442,2024-06-06 23:05:00,N/A,N/A,N/A,N/A,LOSS,-22.83,UNKNOWN,TREND
2443,2024-06-06 23:05:00,LONG,2372.81,2370.824285714286,2375.7885714285712,OPEN,0,BULLISH,TREND
2443,2024-06-06 23:10:00,N/A,N/A,N/A,N/A,LOSS,-1.79,UNKNOWN,SIDEWAY
2447,2024-06-06 23:25:00,LONG,2373.24,2371.675714285714,2375.5864285714283,OPEN,0,BULLISH,TREND
2449,2024-06-06 23:35:00,LONG,2373.5,2372.0057142857145,2375.7414285714285,OPEN,0,BULLISH,TREND
2447,2024-06-06 23:40:00,N/A,N/A,N/A,N/A,WIN,8.42,UNKNOWN,TREND
2449,2024-06-06 23:50:00,LONG,2373.5,2372.0057142857145,2375.7414285714285,WIN,34.07,BULLISH,TREND
2452,2024-06-06 23:50:00,LONG,2375.96,2374.2742857142857,2378.4885714285715,OPEN,0,BULLISH,TREND
2449,2024-06-06 23:55:00,N/A,N/A,N/A,N/A,WIN,87.58,UNKNOWN,SIDEWAY
2458,2024-06-07 01:20:00,LONG,2376.2,2374.6485714285714,2378.5271428571427,OPEN,0,BULLISH,TREND
2452,2024-06-07 01:25:00,N/A,N/A,N/A,N/A,WIN,10.87,UNKNOWN,TREND
2464,2024-06-07 01:50:00,LONG,2376.78,2375.422857142857,2378.815714285715,OPEN,0,BULLISH,TREND
2458,2024-06-07 01:55:00,N/A,N/A,N/A,N/A,WIN,29.17,UNKNOWN,TREND
2465,2024-06-07 01:55:00,LONG,2377.0,2375.655714285714,2379.0164285714286,OPEN,0,BULLISH,TREND
2464,2024-06-07 02:00:00,N/A,N/A,N/A,N/A,WIN,25.34,UNKNOWN,TREND
2470,2024-06-07 02:20:00,LONG,2377.86,2376.8771428571426,2379.334285714286,OPEN,0,BULLISH,TREND
2465,2024-06-07 02:25:00,N/A,N/A,N/A,N/A,WIN,100.53,UNKNOWN,TREND
2470,2024-06-07 02:30:00,N/A,N/A,N/A,N/A,LOSS,-157.95,UNKNOWN,TREND
2479,2024-06-07 03:05:00,LONG,2376.98,2375.612857142857,2379.0307142857146,OPEN,0,BULLISH,TREND
2480,2024-06-07 03:10:00,LONG,2377.3,2375.882857142857,2379.4257142857145,OPEN,0,BULLISH,TREND
2479,2024-06-07 03:15:00,N/A,N/A,N/A,N/A,WIN,12.19,UNKNOWN,TREND
2480,2024-06-07 03:25:00,N/A,N/A,N/A,N/A,LOSS,-34.1,UNKNOWN,SIDEWAY
2485,2024-06-07 03:35:00,LONG,2377.19,2375.4585714285713,2379.787142857143,OPEN,0,BULLISH,TREND
2488,2024-06-07 03:50:00,LONG,2378.54,2376.427142857143,2381.7092857142857,OPEN,0,BULLISH,TREND
2485,2024-06-07 03:55:00,N/A,N/A,N/A,N/A,WIN,40.36,UNKNOWN,TREND
2488,2024-06-07 04:05:00,N/A,N/A,N/A,N/A,LOSS,-76.54,UNKNOWN,SIDEWAY
2515,2024-06-07 06:05:00,LONG,2376.59,2372.5857142857144,2382.5964285714285,OPEN,0,BULLISH,TREND
2515,2024-06-07 06:10:00,N/A,N/A,N/A,N/A,LOSS,-15.48,UNKNOWN,TREND
2517,2024-06-07 06:15:00,LONG,2376.63,2372.632857142857,2382.6257142857144,OPEN,0,BULLISH,TREND
2518,2024-06-07 06:20:00,LONG,2378.28,2374.221428571429,2384.3678571428572,OPEN,0,BULLISH,TREND
2517,2024-06-07 06:25:00,N/A,N/A,N/A,N/A,WIN,21.12,UNKNOWN,TREND
2522,2024-06-07 06:40:00,LONG,2379.58,2375.8557142857144,2385.1664285714282,OPEN,0,BULLISH,TREND
2518,2024-06-07 06:45:00,N/A,N/A,N/A,N/A,WIN,24.57,UNKNOWN,TREND
2523,2024-06-07 06:45:00,LONG,2380.8,2377.241428571429,2386.1378571428572,OPEN,0,BULLISH,TREND
2522,2024-06-07 06:50:00,N/A,N/A,N/A,N/A,WIN,25.25,UNKNOWN,TREND
2528,2024-06-07 07:10:00,LONG,2381.89,2379.052857142857,2386.145714285714,OPEN,0,BULLISH,TREND
2523,2024-06-07 07:15:00,N/A,N/A,N/A,N/A,WIN,23.65,UNKNOWN,TREND
2530,2024-06-07 07:20:00,LONG,2382.46,2379.924285714286,2386.263571428571,OPEN,0,BULLISH,TREND
2528,2024-06-07 07:25:00,N/A,N/A,N/A,N/A,WIN,15.68,UNKNOWN,TREND
2531,2024-06-07 07:25:00,LONG,2384.26,2381.664285714286,2388.1535714285715,OPEN,0,BULLISH,TREND
2532,2024-06-07 07:30:00,LONG,2385.83,2383.2185714285715,2389.7471428571425,OPEN,0,BULLISH,TREND
2530,2024-06-07 07:35:00,N/A,N/A,N/A,N/A,WIN,208.27,UNKNOWN,TREND
2531,2024-06-07 07:35:00,N/A,N/A,N/A,N/A,WIN,95.14,UNKNOWN,TREND
2533,2024-06-07 07:35:00,LONG,2386.27,2383.674285714286,2390.1635714285712,OPEN,0,BULLISH,TREND
2532,2024-06-07 07:40:00,N/A,N/A,N/A,N/A,WIN,26.44,UNKNOWN,TREND
2537,2024-06-07 07:55:00,LONG,2386.55,2383.9971428571434,2390.3792857142857,OPEN,0,BULLISH,TREND
