Ticket,Time,Direction,Entry,SL,TP1,Result,PnL,Regime
S-1,2022-02-22 15:00:00,SHORT,1898.64,1914.36,1840.56,LOSS,-100.0,SIDEWAY_ADV
S-2,2022-02-23 05:30:00,LONG,1899.55,1864.71,1833.43,WIN,189.79,SIDEWAY_ADV
S-3,2022-02-24 05:00:00,SHORT,1922.33,1931.65,1844.84,LOSS,-100.0,SIDEWAY_ADV
S-4,2022-02-24 16:35:00,LONG,1940.26,1886.19,1914.49,WIN,47.67,SIDEWAY_ADV
S-5,2022-02-24 19:05:00,LONG,1918.5,1886.2,1909.05,WIN,29.26,SIDEWAY_ADV
S-6,2022-02-28 18:55:00,LONG,1892.84,1877.62,1898.49,WIN,37.13,SIDEWAY_ADV
S-7,2022-02-28 21:55:00,SHORT,1906.49,1974.9,1891.38,EXPIRED,0.0,SIDEWAY_ADV
S-8,2022-03-01 22:55:00,SHORT,1945.46,1945.46,1900.88,EXPIRED,0.0,SIDEWAY_ADV
S-9,2022-03-02 02:55:00,LONG,1935.06,1877.61,1912.15,WIN,39.88,SIDEWAY_ADV
S-10,2022-03-02 03:00:00,LONG,1933.52,1877.61,1911.77,WIN,38.91,SIDEWAY_ADV
S-11,2022-03-02 22:00:00,SHORT,1929.32,1967.58,1899.1,EXPIRED,0.0,SIDEWAY_ADV
S-12,2022-03-04 02:35:00,SHORT,1947.12,1947.12,1900.57,LOSS,-100.0,SIDEWAY_ADV
S-13,2022-03-04 02:40:00,SHORT,1949.62,1949.62,1901.19,LOSS,-100.0,SIDEWAY_ADV
S-14,2022-03-07 01:50:00,SHORT,1989.55,1989.55,1910.4,LOSS,-100.0,SIDEWAY_ADV
S-15,2022-03-07 10:35:00,SHORT,1997.22,2001.33,1913.06,LOSS,-100.0,SIDEWAY_ADV
S-16,2022-03-07 20:40:00,SHORT,1994.98,1994.98,1912.65,LOSS,-100.0,SIDEWAY_ADV
S-17,2022-03-08 08:50:00,SHORT,2013.95,2013.95,1917.05,LOSS,-100.0,SIDEWAY_ADV
S-18,2022-03-09 05:05:00,SHORT,2053.44,2053.44,1925.39,EXPIRED,0.0,SIDEWAY_ADV
S-19,2022-03-11 06:20:00,LONG,1989.06,1960.63,1923.06,WIN,232.16,SIDEWAY_ADV
S-20,2022-03-11 14:10:00,LONG,1967.74,1960.64,1918.89,WIN,687.74,SIDEWAY_ADV
S-21,2022-03-14 18:55:00,SHORT,1961.15,2070.69,1904.27,EXPIRED,0.0,SIDEWAY_ADV
S-22,2022-03-15 17:40:00,SHORT,1918.3,2042.81,1905.74,WIN,10.09,SIDEWAY_ADV
S-23,2022-03-16 02:40:00,SHORT,1921.59,2009.48,1906.56,WIN,17.1,SIDEWAY_ADV
S-24,2022-03-16 06:05:00,LONG,1916.19,1906.67,1912.68,WIN,36.86,SIDEWAY_ADV
S-25,2022-03-17 10:25:00,SHORT,1939.42,1996.78,1917.11,EXPIRED,0.0,SIDEWAY_ADV
S-26,2022-03-17 10:30:00,SHORT,1940.84,1996.78,1917.47,EXPIRED,0.0,SIDEWAY_ADV
